id,name,stock,price
1,Grapes - Black,79,1.47
2,Cornish Hen,39,79.83
3,Pancetta,11,39.23
4,"Lemonade - Natural, 591 Ml",85,18.99
5,Arctic Char - Fillets,69,85.95
6,"Beans - Black Bean, Preserved",50,30.54
7,Scampi Tail,6,42.29
8,"Shrimp - Baby, Warm Water",49,53.43
9,Beer - Moosehead,62,34.93
10,Honey - Liquid,2,71.29
11,Seedlings - Clamshell,31,99.34
12,Wine - Cotes Du Rhone Parallele,30,31.94
13,Cognac - Courvaisier,24,48.13
14,Tea - Black Currant,83,68.03
15,Cherries - Fresh,80,35.88
16,Beef - Inside Round,67,98.78
17,Neckerchief Blck,67,56.73
18,Cabbage - Nappa,7,76.57
19,Chicken - White Meat With Tender,12,60.9
20,Cheese - Grie Des Champ,61,99.16
21,Pastry - Banana Muffin - Mini,40,88.32
22,"Bread - Roll, Calabrese",80,14.43
23,Sauce - Roasted Red Pepper,20,9.05
24,"Nut - Pecan, Pieces",70,17.48
25,"Juice - Orange, Concentrate",49,73.34
26,"Dill - Primerba, Paste",34,24.62
27,Ecolab - Hobart Upr Prewash Arm,47,11.75
28,Cabbage - Savoy,47,89.23
29,True - Vue Containers,73,83.66
30,Chinese Foods - Pepper Beef,96,60.82
31,Sauce - Plum,46,81.94
32,"Artichokes - Knobless, White",89,86.63
33,Oven Mitts - 15 Inch,58,55.48
34,Coffee - Egg Nog Capuccino,99,85.65
35,"Sugar - Brown, Individual",76,98.79
36,Rhubarb,25,19.25
37,"Ecolab - Orange Frc, Cleaner",60,75.04
38,Wine - Sauvignon Blanc Oyster,67,46.28
39,Hummus - Spread,46,68.39
40,"Apple - Delicious, Golden",36,33.75
41,Whmis - Spray Bottle Trigger,72,93.43
42,Tea - Herbal I Love Lemon,77,5.36
43,Bagelers,41,60.81
44,"Soup - Campbells, Beef Barley",34,79.71
45,Shrimp - Prawn,95,75.61
46,"Cheese - Brie, Triple Creme",50,58.56
47,Beef - Ox Tongue,20,54.35
48,Sugar - White Packet,54,17.23
49,Cheese - Bocconcini,16,40.18
50,Chinese Foods - Plain Fried Rice,97,78.9
51,"Cod - Salted, Boneless",86,27.95
52,Chicken - Tenderloin,11,60.48
53,"Wine - Red, Lurton Merlot De",92,87.25
54,Cookies - Englishbay Wht,25,21.1
55,Tomatoes - Grape,46,55.84
56,Lemon Balm - Fresh,91,98.68
57,"Veal - Inside, Choice",85,40.71
58,The Pop Shoppe - Lime Rickey,14,78.56
59,Oil - Sesame,41,89.21
60,Cheese Cloth No 60,8,92.27
61,Cotton Wet Mop 16 Oz,19,59.88
62,Apron,60,16.23
63,"Pepper - White, Whole",49,54.52
64,Cheese - Cambozola,77,17.46
65,"Yeast - Fresh, Fleischman",88,27.65
66,Hand Towel,48,37.24
67,"Sole - Dover, Whole, Fresh",59,77.55
68,Plastic Wrap,4,68.44
69,"Pasta - Bauletti, Chicken White",74,4.84
70,Godiva White Chocolate,73,93.62
71,Crab - Imitation Flakes,61,80.12
72,Table Cloth 53x69 White,87,81.54
73,Oysters - Smoked,15,20.32
74,"Mushroom - Chantrelle, Fresh",69,16.3
75,Veal - Striploin,47,45.57
76,Madeira,25,78.78
77,Wheat - Soft Kernal Of Wheat,40,69.11
78,"Fish - Scallops, Cold Smoked",42,46.73
79,Sauce - Ranch Dressing,19,43.82
80,Sea Bass - Fillets,85,72.38
81,Evaporated Milk - Skim,51,33.7
82,"Lentils - Red, Dry",60,36.79
83,Taro Root,63,21.97
84,Wine - Ej Gallo Sonoma,94,27.87
85,Pork - European Side Bacon,81,16.42
86,Shark - Loin,16,31.85
87,Juice - Ocean Spray Kiwi,74,52.14
88,Chutney Sauce,23,69.58
89,Cheese - Le Cru Du Clocher,66,16.31
90,Coffee - Dark Roast,64,15.04
91,Tea - Honey Green Tea,8,13.12
92,Cheese - Swiss Sliced,97,74.16
93,Aspic - Clear,93,40.73
94,Foil Wrap,3,72.9
95,Sprite - 355 Ml,65,14.48
96,Tuna - Fresh,52,9.45
97,Sauce - Soy Low Sodium - 3.87l,51,9.55
98,Wine - Chianti Classica Docg,73,92.48
99,Sugar - White Packet,99,60.29
100,"Nestea - Ice Tea, Diet",58,53.33
